Tags,Words,C,AUC
11,550,0.01,0.9251
11,550,0.1,0.9253
11,550,0.5,0.9254
11,550,1.0,0.9254
11,550,5.0,0.9254
11,550,10.0,0.9254
11,600,0.01,0.9251
11,600,0.1,0.9253
11,600,0.5,0.9254
11,600,1.0,0.9254
11,600,5.0,0.9254
11,600,10.0,0.9254
12,50,0.01,0.9252
12,50,0.1,0.9254
12,50,1.0,0.9254
12,50,0.5,0.9254
12,50,5.0,0.9254
12,50,10.0,0.9254
12,75,0.1,0.9254
12,75,0.01,0.9252
12,75,0.5,0.9254
12,75,1.0,0.9254
12,75,5.0,0.9254
12,75,10.0,0.9254
12,100,0.01,0.9252
12,100,0.1,0.9254
12,100,0.5,0.9254
12,100,1.0,0.9254
12,100,5.0,0.9254
12,100,10.0,0.9254
12,150,0.01,0.9252
12,150,0.1,0.9254
12,150,0.5,0.9254
12,150,1.0,0.9254
12,150,5.0,0.9254
12,150,10.0,0.9254
12,200,0.01,0.9252
12,200,0.1,0.9254
12,200,0.5,0.9254
12,200,1.0,0.9254
12,200,5.0,0.9254
12,200,10.0,0.9254
12,225,0.01,0.9252
12,225,0.1,0.9254
12,225,0.5,0.9254
12,225,1.0,0.9254
12,225,5.0,0.9254
12,250,0.01,0.9252
12,225,10.0,0.9254
12,250,0.5,0.9254
12,250,1.0,0.9254
12,250,0.1,0.9254
12,250,5.0,0.9254
12,250,10.0,0.9254
12,275,0.01,0.9252
12,275,0.1,0.9254
12,275,0.5,0.9254
12,275,5.0,0.9254
12,275,1.0,0.9254
12,275,10.0,0.9254
12,300,0.01,0.9252
12,300,0.1,0.9254
12,300,0.5,0.9254
12,300,1.0,0.9254
12,300,5.0,0.9254
12,300,10.0,0.9254
12,325,0.01,0.9252
12,325,0.1,0.9254
12,325,0.5,0.9254
12,325,1.0,0.9254
12,325,5.0,0.9254
12,325,10.0,0.9254
12,350,0.01,0.9252
12,350,0.1,0.9254
12,350,0.5,0.9254
12,350,1.0,0.9254
12,350,5.0,0.9254
12,400,0.1,0.9254
12,400,0.01,0.9252
12,350,10.0,0.9254
12,400,0.5,0.9254
12,400,1.0,0.9255
12,400,5.0,0.9255
12,400,10.0,0.9255
12,450,0.01,0.9252
12,450,0.1,0.9254
12,450,0.5,0.9254
12,450,1.0,0.9254
12,450,5.0,0.9254
12,450,10.0,0.9254
12,500,0.01,0.9252
12,500,0.1,0.9254
12,500,0.5,0.9254
12,500,1.0,0.9254
12,500,5.0,0.9254
12,500,10.0,0.9254
12,550,0.01,0.9252
12,550,0.1,0.9254
12,550,0.5,0.9254
12,550,1.0,0.9254
12,550,10.0,0.9254
12,550,5.0,0.9254
12,600,0.01,0.9252
12,600,0.1,0.9254
12,600,0.5,0.9254
12,600,1.0,0.9254
12,600,5.0,0.9254
12,600,10.0,0.9254
13,50,0.1,0.9254
13,50,0.01,0.9252
13,50,0.5,0.9254
13,50,1.0,0.9254
13,50,10.0,0.9254
13,50,5.0,0.9254
13,75,0.01,0.9252
13,75,0.1,0.9254
13,75,0.5,0.9254
13,75,1.0,0.9254
13,75,5.0,0.9254
13,75,10.0,0.9254
13,100,0.01,0.9252
13,100,0.1,0.9254
13,100,0.5,0.9254
13,100,1.0,0.9254
13,100,5.0,0.9254
13,100,10.0,0.9254
13,150,0.1,0.9254
13,150,0.01,0.9252
13,150,0.5,0.9254
13,150,1.0,0.9254
13,150,5.0,0.9254
13,150,10.0,0.9254
13,200,0.1,0.9254
13,200,0.01,0.9252
13,200,0.5,0.9254
13,200,1.0,0.9254
13,200,5.0,0.9254
13,200,10.0,0.9254
13,225,0.01,0.9252
